wv,intens
4992.698281,16443.26367
4992.709247,16303.30371
4992.720212,16538.43164
4992.731177,16840.06836
4992.742141,17244.08398
4992.753105,18136.88086
4992.764067,18659.88281
4992.77503,19412.91992
4992.785991,19341.11914
4992.796952,19818.05273
4992.807913,20115.13477
4992.818873,20170.23633
4992.829832,20367.3457
4992.84079,20566.79883
4992.851748,20458.98828
4992.862706,20619.21094
4992.873663,20712.17383
4992.884619,20700.60156
4992.895574,20659.58984
4992.906529,20742.82422
4992.917484,21301.10742
4992.928437,21026.68555
4992.939391,20735.42188
4992.950343,21227.04492
4992.961295,21352.42773
4992.972246,20829.94922
4992.983197,21019.46289
4992.994147,21132.15039
4993.005097,21269.53906
4993.016046,21148.72852
4993.026994,21143.2207
4993.037942,20945.6543
4993.048889,21081.97461
4993.059835,20997.20508
4993.070781,20615.93555
4993.081727,20885.41016
4993.092671,20319.33008
4993.103615,19933.29297
4993.114559,19895.51758
4993.125502,19479.63477
4993.136444,19757.09375
4993.147386,19450.11133
4993.158327,19782.33984
4993.169267,19752.89844
4993.180207,20223.39258
4993.191146,20234.77734
4993.202085,20532.87891
4993.213023,20698.64258
4993.22396,20364.37109
4993.234897,20383.96289
4993.245833,20287.70703
4993.256769,20229.44336
4993.267704,20322.20898
4993.278638,20408.63086
4993.289572,20291.31445
4993.300505,20441.08203
4993.311438,20561.88281
4993.32237,20659.16016
4993.333301,20852.60352
4993.344232,20994.46094
4993.355162,20906.00586
4993.366092,21268.75
4993.377021,21635.92773
4993.387949,21786.13477
4993.398877,21647.125
4993.409804,21964.30078
4993.420731,22455.69336
4993.431657,22354.87305
4993.442582,22452.86719
4993.453507,22485.30469
4993.464431,22397.5918
4993.475354,22531.86328
4993.486277,22486.33398
4993.4972,22633.76563
4993.508121,22642.32813
4993.519042,22199.07422
4993.529963,21977.24805
4993.540883,22057.85938
4993.551802,22148.08789
4993.562721,21646.41797
4993.573639,20998.61523
4993.584556,21038.88086
4993.595473,20409.03906
4993.60639,20396.39258
4993.617305,19899.05859
4993.62822,19960.75977
4993.639135,19666.61523
4993.650049,20522.55078
4993.660962,20709.82813
4993.671875,21048.84375
4993.682787,21209.55664
4993.693698,21751.17773
4993.704609,22234.96094
4993.715519,22505.63281
4993.726429,22845.44141
4993.737338,22593.02734
4993.748246,22669.91797
4993.759154,22587.9375
4993.770061,22692.75391
4993.780968,22979.30273
4993.791874,22824.10547
4993.80278,22639.39648
4993.813684,22522.22461
4993.824589,22828.11133
4993.835492,22593.11719
4993.846395,22814.36133
4993.857298,22618.56445
4993.868199,22865.91211
4993.879101,23201.64453
4993.890001,23241.59961
4993.900901,23409.21875
4993.911801,23453.8125
4993.9227,23475.98242
4993.933598,23705.59375
4993.944495,23686.4082
4993.955392,23373.14063
4993.966289,23786.10547
4993.977184,23553.78516
4993.98808,23837.96289
4993.998974,23731.17578
4994.009868,24053.61133
4994.020762,24020.90625
4994.031654,23787.93359
4994.042547,23495.82813
4994.053438,23850.43555
4994.064329,23608.97852
4994.075219,23390.36328
4994.086109,22764.44336
4994.096998,22678.18164
4994.107887,22199.9707
4994.118775,21148.55859
4994.129662,20139.65039
4994.140549,18933.10156
4994.151435,17697.18359
4994.162321,16646.32617
4994.173206,15305.13379
4994.18409,15024.13574
4994.194974,15102.82031
4994.205857,15150.69434
4994.216739,16055.63281
4994.227621,17066.89063
4994.238503,18636.57227
4994.249383,19878.1875
4994.260264,20921.83594
4994.271143,21834.52344
4994.282022,22309.50781
4994.2929,23184.27344
4994.303778,23717.49414
4994.314655,24167.05664
4994.325532,24067.98047
4994.336408,24381.04688
4994.347283,24489.42383
4994.358158,24351.24609
4994.369032,24265.52148
4994.379905,24735.4082
4994.390778,24735.12695
4994.401651,24027.22656
4994.412522,24319.85938
4994.423393,23657.65625
4994.434264,23076.76953
4994.445134,22384.39648
4994.456003,21255.7793
4994.466872,19873.63867
4994.47774,18546.12109
4994.488607,17066.99219
4994.499474,15702.39355
4994.510341,14407.82031
4994.521206,13733.93457
4994.532071,13615.15234
4994.542936,13614.24414
4994.5538,13986.46191
4994.564663,14718.53027
4994.575526,15256.29883
4994.586388,16202.38086
4994.597249,17088.82813
4994.60811,18234.17578
4994.618971,19524.71289
4994.62983,20467.75586
4994.640689,21814.80469
4994.651548,22324.92383
4994.662406,23290.95117
4994.673263,23759.72656
4994.68412,24230.77148
4994.694976,24579.53125
4994.705831,25072.71875
4994.716686,25376.73047
4994.727541,25284.20313
4994.738394,24912.6543
4994.749247,24874.5918
4994.7601,25184.3418
4994.770952,25240.19141
4994.781803,25151.36133
4994.792654,25021.44141
4994.803504,24834.06445
4994.814353,24804.11719
4994.825202,24369.17383
4994.836051,24293.59961
4994.846898,23899.28906
4994.857745,23307.05273
4994.868592,22190.0625
4994.879438,20955.28906
4994.890283,19460.56445
4994.901128,17120.41211
4994.911972,14601.94238
4994.922815,12551.53613
4994.933658,10121.20313
4994.944501,8295.936523
4994.955342,6932.333008
4994.966183,6112.888672
4994.977024,6096.955078
4994.987864,6392.925781
4994.998703,7446.946289
4995.009542,9000.913086
4995.02038,11200.94043
4995.031217,13595.4834
4995.042054,16128.16797
4995.052891,18146.6875
4995.063726,20450.08984
4995.074561,21659.41211
4995.085396,23008.75781
4995.09623,24002.83984
4995.107063,24546.8457
4995.117896,25062.37305
4995.128728,25372.94531
4995.139559,25750.53125
4995.15039,25938.20703
4995.161221,25702.57422
4995.17205,26013.43359
4995.182879,26433.66602
4995.193708,26267.8457
4995.204536,26194.83594
4995.215363,26551.97461
4995.22619,26226.11719
4995.237016,26581.32031
4995.247842,26690.22656
4995.258666,26805.49414
4995.269491,26803.23633
4995.280315,26653.75391
4995.291138,27292.29883
4995.30196,26828.3418
4995.312782,27035.27344
4995.323603,26823.5957
4995.334424,26710.06445
4995.345244,26577.60156
4995.356064,26815.96484
4995.366883,26673.17188
4995.377701,26628.10352
